name,type,url
1Hosts,domain,https://raw.githubusercontent.com/badmojr/1Hosts/master/Xtra/domains.txt
Badd-Boyz-Hosts,rfc952,https://raw.githubusercontent.com/mitchellkrogza/Badd-Boyz-Hosts/master/hosts
RooneyMcNibNug,https://raw.githubusercontent.com/RooneyMcNibNug/pihole-stuff/master/SNAFU.txt
ShadowWhispererAds,domain,https://raw.githubusercontent.com/ShadowWhisperer/BlockLists/master/Lists/Ads
ShadowWhispererApple,domain,https://raw.githubusercontent.com/ShadowWhisperer/BlockLists/master/Lists/Apple
ShadowWhispererBloat,domain,https://raw.githubusercontent.com/ShadowWhisperer/BlockLists/master/Lists/Bloat
ShadowWhispererChat,domain,https://raw.githubusercontent.com/ShadowWhisperer/BlockLists/master/Lists/Chat
ShadowWhispererCryptocurrency,domain,https://raw.githubusercontent.com/ShadowWhisperer/BlockLists/master/Lists/Cryptocurrency
ShadowWhispererDating,domain,https://raw.githubusercontent.com/ShadowWhisperer/BlockLists/master/Lists/Dating
ShadowWhispererDynamic,domain,https://raw.githubusercontent.com/ShadowWhisperer/BlockLists/master/Lists/Dynamic
ShadowWhispererFree,domain,https://raw.githubusercontent.com/ShadowWhisperer/BlockLists/master/Lists/Free
ShadowWhispererJunk,domain,https://raw.githubusercontent.com/ShadowWhisperer/BlockLists/master/Lists/Junk
ShadowWhispererMalware,domain,https://raw.githubusercontent.com/ShadowWhisperer/BlockLists/master/Lists/Malware
ShadowWhispererMarketing,domain,https://raw.githubusercontent.com/ShadowWhisperer/BlockLists/master/Lists/Marketing
ShadowWhispererMarketingEmail,domain,https://raw.githubusercontent.com/ShadowWhisperer/BlockLists/master/Lists/Marketing-Email
ShadowWhispererMicrosoft,domain,https://raw.githubusercontent.com/ShadowWhisperer/BlockLists/master/Lists/Microsoft
ShadowWhispererRemote,domain,https://raw.githubusercontent.com/ShadowWhisperer/BlockLists/master/Lists/Remote
ShadowWhispererRisk,domain,https://raw.githubusercontent.com/ShadowWhisperer/BlockLists/master/Lists/Risk
ShadowWhispererScam,domain,https://raw.githubusercontent.com/ShadowWhisperer/BlockLists/master/Lists/Scam
ShadowWhispererShock,domain,https://raw.githubusercontent.com/ShadowWhisperer/BlockLists/master/Lists/Shock
ShadowWhispererTracking,domain,https://raw.githubusercontent.com/ShadowWhisperer/BlockLists/master/Lists/Tracking
ShadowWhispererTunnels,domain,https://raw.githubusercontent.com/ShadowWhisperer/BlockLists/master/Lists/Tunnels
ShadowWhispererTypo,domain,https://raw.githubusercontent.com/ShadowWhisperer/BlockLists/master/Lists/Typo
ShadowWhispererUrlShortener,domain,https://raw.githubusercontent.com/ShadowWhisperer/BlockLists/master/Lists/UrlShortener
The-Big-List-of-Hacked-Malware-Web-Sites,domain,https://raw.githubusercontent.com/mitchellkrogza/The-Big-List-of-Hacked-Malware-Web-Sites/master/hacked-domains.list
Ultimate.Hosts.Blacklist0,domain,https://raw.githubusercontent.com/Ultimate-Hosts-Blacklist/Ultimate.Hosts.Blacklist/master/domains/domains0.list
Ultimate.Hosts.Blacklist1,domain,https://raw.githubusercontent.com/Ultimate-Hosts-Blacklist/Ultimate.Hosts.Blacklist/master/domains/domains1.list
Ultimate.Hosts.Blacklist2,domain,https://raw.githubusercontent.com/Ultimate-Hosts-Blacklist/Ultimate.Hosts.Blacklist/master/domains/domains2.list
adaway,rfc952,https://raw.githubusercontent.com/AdAway/adaway.github.io/master/hosts.txt
adblock-nocoin-list,rfc952,https://raw.githubusercontent.com/hoshsadiq/adblock-nocoin-list/master/hosts.txt
adblock-nocoin-list,rfc952,https://raw.githubusercontent.com/hoshsadiq/adblock-nocoin-list/master/hosts.txt
antipopads-re,rfc952,https://raw.githubusercontent.com/AdroitAdorKhan/antipopads-re/master/formats/hosts.txt
anudeepND,rfc952,https://raw.githubusercontent.com/anudeepND/blacklist/master/adservers.txt
assoEchap,domain,https://raw.githubusercontent.com/AssoEchap/stalkerware-indicators/master/generated/hosts_full
barbBlock,domain,https://paulgb.github.io/BarbBlock/blacklists/domain-list.txt
bbcan177_MS-2,domain,https://gist.githubusercontent.com/BBcan177/4a8bf37c131be4803cb2/raw/343ff780e15205b4dd0de37c86af34cfb26b2fbe/MS-2
bbcan177_MS-4,domain,https://gist.githubusercontent.com/BBcan177/b6df57cef74e28d90acf1eec93d62d3b/raw/f0996cf5248657ada2adb396f3636be8716b99eb/MS-4
coinBlockerLists,domain,https://zerodot1.gitlab.io/CoinBlockerLists/list.txt
digitalside,domain,https://osint.digitalside.it/Threat-Intel/lists/latestdomains.txt
disconnect-me,domain,https://s3.amazonaws.com/lists.disconnect.me/simple_ad.txt
fabriziosalmi,domain,https://github.com/fabriziosalmi/blacklists/releases/download/latest/blacklist.txt
fademind_add_risk,rfc952,https://raw.githubusercontent.com/FadeMind/hosts.extras/master/add.Risk/hosts
fademind_add_spam,rfc952,https://raw.githubusercontent.com/FadeMind/hosts.extras/master/add.Spam/hosts
fademind_antipopads,rfc952,https://raw.githubusercontent.com/FadeMind/hosts.extras/master/antipopads-re/hosts
fademind_facebook,rfc952,https://raw.githubusercontent.com/FadeMind/hosts.extras/master/blocklists-facebook/hosts
frogEyeFPT,domain,https://hostfiles.frogeye.fr/firstparty-trackers.txt
frogEyeFPTO,domain,https://hostfiles.frogeye.fr/firstparty-only-trackers.txt
frogEyeMPT,domain,https://hostfiles.frogeye.fr/multiparty-only-trackers.txt
hosts-file.ad_servers,domain,https://bitbucket.org/expiredsources/hosts-file.net/raw/master/active/ad_servers.txt
hosts-file.emd,domain,https://bitbucket.org/expiredsources/hosts-file.net/raw/master/active/emd.txt
hosts-file.exp,domain,https://bitbucket.org/expiredsources/hosts-file.net/raw/master/active/exp.txt
hosts-file.fsa,domain,https://bitbucket.org/expiredsources/hosts-file.net/raw/master/active/fsa.txt
hosts-file.grm,domain,https://bitbucket.org/expiredsources/hosts-file.net/raw/master/active/grm.txt
hosts-file.hjk,domain,https://bitbucket.org/expiredsources/hosts-file.net/raw/master/active/hjk.txt
hosts-file.mmt,domain,https://bitbucket.org/expiredsources/hosts-file.net/raw/master/active/mmt.txt
hosts-file.psh,domain,https://bitbucket.org/expiredsources/hosts-file.net/raw/master/active/psh.txt
hosts-file.pup,domain,https://bitbucket.org/expiredsources/hosts-file.net/raw/master/active/pup.txt
hostsFileOrg,rfc952,https://hostsfile.org/Downloads/hosts.txt
kadhosts_azet12,domain,https://raw.githubusercontent.com/FiltersHeroes/KADhosts/master/KADomains.txt
migueldemouraAds-tracking,domain,https://raw.githubusercontent.com/migueldemoura/ublock-umatrix-rulesets/master/Hosts/ads-tracking
migueldemouraAds-tracking-breaking,domain,https://raw.githubusercontent.com/migueldemoura/ublock-umatrix-rulesets/master/Hosts/ads-tracking-breaking
migueldemouraGoogleLocal,domain,https://raw.githubusercontent.com/migueldemoura/ublock-umatrix-rulesets/master/Hosts/google-local
migueldemouraMalware,domain,https://raw.githubusercontent.com/migueldemoura/ublock-umatrix-rulesets/master/Hosts/malware
pglYoyo,domain,https://pgl.yoyo.org/adservers/serverlist.php?hostformat=nohtml&showintro=0&mimetype=plaintext
phishing-block-list,domain,https://raw.githubusercontent.com/chainapsis/phishing-block-list/main/block-list.txt
phishing-block-list,domain,https://raw.githubusercontent.com/chainapsis/phishing-block-list/main/block-list.txt
phishingArmy,domain,https://phishing.army/download/phishing_army_blocklist_extended.txt
phishingArmy,domain,https://phishing.army/download/phishing_army_blocklist_extended.txt
phishing_army_blocklist_extended,domain,https://phishing.army/download/phishing_army_blocklist_extended.txt
quidsUpMixed,domain,https://quidsup.net/notrack/blocklist.php?download=trackersdomains
someonewhocares,rfc952,https://someonewhocares.org/hosts/hosts
